job title,compaany name,local job,jobs experience,link,date offer
Lead DevOps Engineer,"Integrant, Inc.","Cairo, Egypt ",Full TimeNot specified · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · DevOps · Engineering · Software Development · AWS · Software Engineering,https://wuzzuf.net/jobs/p/G7e5CTv1bVzw-Lead-DevOps-Engineer-Integrant-Inc-Cairo-Egypt,11 days
Senior Data Scientist II,Alphapartners,"Dubai, United Arab Emirates ",Full TimeNot specified · R&D/Science · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Engineering · Information Technology (IT) · SQL · Data Science · Java · Python,https://wuzzuf.net/jobs/p/T5W2p0XgpwIg-Senior-Data-Scientist-II-Alphapartners-Dubai-United-Arab-Emirates,11 days
App/ Software / Solution Architect,SSC,"Cairo, Egypt ",Full TimeNot specified · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · Software Engineering · Computer Engineering · POC · CSS · Design Documents,https://wuzzuf.net/jobs/p/Ld8EG1zXbSal-App-Software-Solution-Architect-SSC-Cairo-Egypt,10 days
"Senior Backend Engineer, Talent Operations",WorkMotion,"Cairo, Egypt ",Full TimeWork From HomeNot specified · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · Software Engineering · Engineering · AWS · SQL,https://wuzzuf.net/jobs/p/rcoGj4MenPPW-Senior-Backend-Engineer-Talent-Operations-WorkMotion-Cairo-Egypt,11 days
Azure Administrator,VAM Systems,"Dubai, United Arab Emirates ",Full TimeNot specified · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Azure · System Administration · Linux · AWS · Engineering,https://wuzzuf.net/jobs/p/Gwr4Na1OBs4F-Azure-Administrator-VAM-Systems-Dubai-United-Arab-Emirates,11 days
Process Engineer,Stantec,"Dubai, United Arab Emirates ",Full TimeNot specified · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Engineering · Computer Science · Information Technology (IT) · Mechanical Engineering · Production · Software Engineering · Software Development,https://wuzzuf.net/jobs/p/lqymNwxPG3oW-Process-Engineer-Stantec-Dubai-United-Arab-Emirates,12 days
Senior Data Scientist,Etisalat Egypt,"Maadi, Cairo, Egypt ",Full TimeExperienced · 2 - 6 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · Computer Science · Data Analysis · Testing · Information Technology (IT) · Python · Software Development,https://wuzzuf.net/jobs/p/0fJbtLQ9Ebcd-Senior-Data-Scientist-Etisalat-Egypt-Cairo-Egypt,13 days
Senior Developer,OdooTec,"Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Computer Science · CSS · Information Technology (IT) · Software Development · C# · Python · Software Engineering · Programming,https://wuzzuf.net/jobs/p/r2nzOCoSsWRN-Senior-Developer-OdooTec-Cairo-Egypt,13 days
Data Center Engineer,VAS Integrated Solutions,"Cairo, Egypt ",Full TimeNot specified · IT/Software Development · Sales/Retail · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Engineering · Computer Engineering · Data Center · Sales · Software Engineering,https://wuzzuf.net/jobs/p/R7GGhjC2mCH6-Data-Center-Engineer-VAS-Integrated-Solutions-Cairo-Egypt,12 days
Senior Software Devops + GCP Engineer _VOIS,Vodafone - Egypt,"Cairo, Egypt ",Full TimeNot specified · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · computer science · information technology (it) · software development · devops · software engineering · docker · agile,https://wuzzuf.net/jobs/p/LZAQahkzXdOY-Senior-Software-Devops-GCP-Engineer-VOIS-Vodafone---Egypt-Cairo-Egypt,13 days
